1,Just the Beginning Foundation,
2,Adler Planetarium,"The Adler Planetarium opened on May 12, 1930 and celebrated its 75th Anniversary as Americas First Planetarium in 2005. Civic leader Max Adler founded the Adler with a vision of creating a classroom under the heavens. His gift to Chicago in 1930 established the first planetarium in the Western Hemisphere. Maude Bennot - the Adlers second director (1937-1945) - was the first woman to lead a planetarium and major science center. Ernest A. Grunsfeld, Jr. designed the Adler, and was awarded a gold medal from the American Institute of Architects for his 1930 Art Deco building. The first planetarium and structure of its kind in America, the Adler's solid, geometric massing reflects Grunsfeld's interest in the stepped pyramid designs of Mayan temples in Mexico and Guatemala. Bronze plaques designed by Alfonso Iannelli, a frequent collaborator of Frank Lloyd Wright's, depict the zodiac signs. These plaques decorate each of the 12 corners of the original building. The Adler was designated a National Historic Landmark "
3,Columbia College of Chicago,"In 1997, founding producer and Fiction Writing Chair Randall Albers thought that the first Story Week Festival of Writers would be a one-time event, and was stunned when 500 people turned out for two evenings of featured authors. Now spanning six days of multi-venue programming, Story Week has steadily evolved into a diverse, cutting-edge festival occupying a central place on the literary calendar."
4,"Hispanic American Community Education and Services, Inc",
5,Northwestern University,"The Buehler Center was founded in 1982 as a program of the McGaw Medical Center (an umbrella organization including Childrenâs Memorial Hospital, the Rehabilitation Institute of Chicago, Northwestern Memorial Hospital and the Jesse Brown Veterans Administration Medical Center, including the Lakeside Clinic) for the purpose of promoting preventative medical care, and delivering research and interventions to advance the cause of healthy aging. In 1999 the Center published Facing the Millennium: Chicago Elderly Needs Assessment1, the only Chicago wide elderly needs assessment to be published to date, recently cited in the Chicago Community Trustâs Human Relations Strategy2. In 2007, the Centerâs mandate was expanded to include research in the fields of palliative care, health economics, and care delivery, as well as the deployment of high-impact curricula to deliver end-of-life education for health care professionals. Related outputs included a feasibility study on training informal caregivers in DuPage County a"
6,Jackson Chance Foundation,
7,The Salvation Army Metropolitan Division,In 1865 William Booth extended a new ministry to people living in dire poverty in London?s East End. His ministry recognized the interdependence of material emotional and spiritual needs; it included the feeding and shelter of the hungry and homeless and alcohol rehabilitation. This movement adopted a military model; ministers became known by officers? ranks.Outreach has expanded to 100+ countries. Basic social services have expanded to include new programs addressing contemporary needs.The U.S. is divided into four territories made up of divisions each headed by a divisional commander. Divisions consist of corps community centers the basic units of The Salvation Army and various specialized centers.The Salvation Army has been serving Chicagoland since 1885.In communities throughout Chicago and the surrounding five-county area The Salvation Army Metropolitan Division extends emergency and supportive assistance from 28 corps community centers 80 suburban service extension units residential programs feeding pro
8,"Asian Human Services of Chicago, Inc.",
9,Illinois Chapter of American Academy of Pediatrics,ICAAP was incorporated in 1975.  For many years ICAAP paid the Illinois State Medical Society for administrative support services and served its membership through periodic communications an annual conference and limited advocacy efforts.  In 1998 ICAAP leadership established an independent office hired its first Executive Director and set goals for improving member service and participation.  A period of rapid growth in budget programming and volunteer involvement followed.  In fiscal year 2001 ICAAPâs revenue was 278000 relying heavily on membership dues which accounted for about 50% of revenue.  For fiscal year 2013 ICAAP had budgeted revenue of 2.3 million with over 85% received from grants/contracts.  Nearly 40 corporate foundation and government agencies support ICAAP and a strong individual donor base has begun to develop.  Similarly staff grew from one position in 2001 to 20 full-time staff and 1 part-time staff by 2013.  ICAAPâs growth can be attributed to the following key factors:Leadership:  Illin
10,California Institute of Technology,
11,Chicago House and Social Service Agency,
12,Changing Worlds,"Changing Worlds began in 1996 at Hibbard Elementary School, a Chicago Public School located in the diverse, predominately immigrant Albany Park neighborhood. Driven by a vision to build bridges across cultures through story and the arts, its founder, Kay Berkson, partnered with the school?s staff and parents to create an oral history and photography exhibit."
13,Access Living of Metropolitan Chicago,
14,BEDS PLUS CARE Inc.,
15,Boys and Girls Club of Lake County,"The Boys and Girls Club of Lake County was originally known as the Lake Shore Youth Center, founded by Ed and Kitty Schumaker in 1993.  In its first year the Lake Shore Youth Center served 150 youth.  In 2000, the LSY became a chartered member of the Boys and Girls Club of America.  The collaboration with the Boys and Girls Club of America brought to Lake County a full array of field tested programs and activities for club members and professional development opportunities for the staff. The club provides a safe and positive afterschool program from 2:30 until 8pm daily ( 2:30 until 6:00pm at Keller Avenue Unit).   The programs offered are designed to raise self-esteem, promote academic success, encourage healthy habits in eating and physical fitness, and civic engagement and responsibility.  The activities have been designed to be hands-on, engaging and effective.  Staff members provide adult role models and mentors to encourage and support the youth and a the nutritional, hearty snack serves as an evening m"
16,Illinois Latino Family Commission,
17,New York University Metropolitan Center for Research on Equity,
18,Sinai Health System,
19,Tufts University Center for Information & Research,"Established in 2001 based on a recommendation of the National Commission on Civic Renewal, CIRCLE quickly earned its reputation for reliable, independent, timely research. CIRCLE?s research is widely cited in scholarly publications and most national news media ranging from The New York Times to CNN. CIRCLE?s special publications, such as The Civic Mission of Schools report (jointly published with Carnegie Corporation of New York, 2003), Higher Education: Civic Mission & Civic Effects (jointly published with The Carnegie Foundation for the Advancement of Teaching in 2006), and Peter Levine?s book The Future of Democracy (2007) have changed the public discourse on how citizens, particularly young people, engage in civic and political life, and the kinds of programs and activities in schools and colleges that foster student civic learning and engagement in democracy."
20,University of Illinois at Chicago College of Education,"The UIC College of Education strives to prepare the next generation of educators, educational leaders, and educational researchers to establish equity in Chicago public schools. As outlined in our Conceptual Framework and Strategic Plan, all aspects of our work are guided by a vision that ensures the highest quality education for all children.  Three leading programs are described briefly below.
1. The EdD in Urban Education Leadership with School Principal Certification Option
The EdD in Urban Education Leadership has been nationally recognized for its innovation and quality and was identified as a ""model"" program by the Illinois Board of Higher Education Commission on School Leader Preparation. The program develops principals and other educational leaders able to transform high-need urban schools and districts. It offers at least three years of site-based coaching by former principals who have transformed urban schools, and three years of field assessment. The program has a strong emphasis on collection and"
