name|address|desc|active|latest|info_year|revenue|expense|assets|liabilites|cont_rev|other_rev|coordinates
MORGAN PARK-BEVERLY HILLS BUSINESS ASSOCIATION|10827 S WESTERN AVE CHICAGO IL 60643-3206||False|2012|2012.0|37075.0|35301.0|37947.0|0.0|37075.0|0.0|[37.8687886, -122.2592009]
MUSIC TEACHERS NATIONAL ASSOCIATION ILLINOIS STATE MTA|4715 N RACINE AVE APT 405 CHICAGO IL 60640-4062||True|2016|2016.0|62851.0|69408.0|88966.0|1934.0|670.0|17081.0|[41.96759345, -87.6593061566312]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC W-068 EAST BAY|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2012|2012.0|0.0||1.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MIDWEST BRIDGE UNIT INC|1420 E 87TH ST CHICAGO IL 60619-6523||True|2016|2015.0|74580.0|95503.0|53712.0|13463.0|0.0|0.0|[41.737171, -87.5892993600429]
MORDINE & COMPANY|1016 N DEARBORN ST CHICAGO IL 60610-2804|Dance Arts Culture and Humanities|True|2015|2015.0|104007.0|109206.0|24609.0|3125.0|101879.0|0.0|[41.9012087, -87.6303335]
NATIONAL ASSOCIATION OF CONCESSIONAIRES|180 N MICHIGAN AVE STE 2215 CHICAGO IL 60601-7455||True|2015|2015.0|783946.0|784232.0|692016.0|101566.0|186555.0|554479.0|[41.88551655, -87.6249684023688]
MORGAN-SENIOR FOUNDATION|323 N MICHIGAN AVE CHICAGO IL 60601-3701||True|2015|2014.0|251680.0|64243.0|548694.0|24285.0|257964.0|262.0|[41.8874069, -87.6241658150788]
MELVIN AND FRANCES KIRBY FOUNDATION|111 W MONROE ST CHICAGO IL 60603-4096|Private Independent Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2015.0|43466.0|33517.0|456363.0|0.0|0.0|0.0|[41.88035315, -87.6311364647904]
MILDRED WILLCOX TRUST UW|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014.0|39397.0|25925.0|418775.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NAPER VALLEY CORPORATION|1415 W FOSTER AVE CHICAGO IL 60640-2288|Senior Continuing Care Communities Human Services — Multipurpose and Other|True|2015|2015.0|57583.0|119041.0|11029.0|68919.0|0.0|46270.0|[41.97595105, -87.6654179966374]
MOVE FOR LIFE INC|7033 N KEDZIE AVE APT 113 CHICAGO IL 60645-2806|Research Institutes and/or Public Policy Analysis Health — General and Rehabilitative|False|2014|2014.0|6500.0|2906.0|3594.0|0.0|6500.0|0.0|[37.8687886, -122.2592009]
MEN & WOMEN IN PRISON MINISTRIES|10 W 35TH STREET CHICAGO IL 60616-3717|Religion Related Spiritual Development N.E.C.|True|2015|2015.0|256407.0|322497.0|89316.0|19794.0|256407.0|0.0|[41.8313948, -87.6272279243347]
MOUNT SINAI HOSPITAL MEDICAL CENTER|CALIFORNIA AVE AT 15TH ST CHICAGO IL 60608-0000|Hospital General Health — General and Rehabilitative|True|2015|2015.0|316679562.0|311584870.0|157332969.0|166109532.0|10341946.0|299030418.0|[41.8313948, -87.6272279243347]
MRENS NFP|750 N LAKE SHORE DR 600 CHICAGO IL 60611-3152|Science and Technology Research Institutes Services N.E.C.|True|2015|2015.0|349720.0|326098.0|349916.0|0.0|0.0|348980.0|[37.8687886, -122.2592009]
MUHAMMAD ISLAMIC FOUNDATION|207 E OHIO ST CHICAGO IL 60611-3238||True|2015|2014.0|129297.0|121384.0|782390.0|172626.0|129293.0|4.0|[41.8924038, -87.6212638]
NATIONAL CONFERENCE OF BAR PRESIDENTS|321 N CLARK ST FL 16 CHICAGO IL 60654-4740|Correctional Facilities N.E.C. Crime Legal-Related|True|2015|2015.0|361811.0|393240.0|595021.0|63205.0|116250.0|233197.0|[41.8881932, -87.63060329176]
NATIONAL COUNCIL OF REAL ESTATE INVESTMENTS FIDUCIARIES|200 E RANDOLPH ST STE 5135 CHICAGO IL 60601-6535||True|2015|2015.0|4293204.0|4678703.0|1320985.0|142140.0|0.0|4292479.0|[41.8852704, -87.6215964]
MINERD FOUNDATION|227 W MONROE ST FL 48 CHICAGO IL 60606-5037|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2013.0|440215.0|227.0|2439853.0|0.0|440000.0|215.0|[41.88017595, -87.6347380987231]
MUSIC IN URBAN SCHOOLS INSPIRING CHANGE|2658 N HARDING AVE CHICAGO IL 60647-1025|Music Arts Culture and Humanities|False|2012|2012.0|165.0|151.0|1.0|0.0|165.0|0.0|[37.8687886, -122.2592009]
NATIONAL SOCIETY TO PREVENT BLINDNESS PREVENT BLINDNESS|211 W WACKER DR STE 1700 CHICAGO IL 60606-1375|Eye Diseases Blindness and Vision Impairments Diseases Disorders Medical Disciplines|True|2016|2016.0|3293795.0|3815987.0|13615948.0|2029844.0|2530649.0|664285.0|[37.8687886, -122.2592009]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 062 SC DENVER CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2009||||||||[37.8687886, -122.2592009]
MIDWEST STOCK TRANSFER ASSN INC|200 S WACKER DRIVE - SUITE 3144 CHICAGO IL 60606-5829||False|2007||||||||[37.8687886, -122.2592009]
MICHEAL REESE HEALTH TRUST|150 N WACKER DR STE 2320 CHICAGO IL 60606-1608|Health - General and Rehabilitative N.E.C.|True|2016|2014.0|8283108.0|8452289.0|148205327.0|5195525.0|372104.0|0.0|[37.8687886, -122.2592009]
NATIONAL COUNCIL OF YOUNG MENS CHRISTIAN ASSNS OF THE USA|101 N WACKER DR FL 16 CHICAGO IL 60606-7310|Young Men's or Women's Associations (YMCA YWCA YWHA YMHA) Human Services — Multipurpose and Other|True|2016|2015.0|143906903.0|126647523.0|166274608.0|23854639.0|66457374.0|69629903.0|[37.8687886, -122.2592009]
MOMBASA RELIEF INITATIVE|201 W LAKE ST STE 113 CHICAGO IL 60606-1803|International Relief International Foreign Affairs and National Security|False|2013|2013.0|10559.0|11143.0|448.0|0.0|5992.0|0.0|[37.8687886, -122.2592009]
NATIONAL FOUNDATION FOR JUDICIAL EXCELLENCE|55 W MONROE ST STE 2000 CHICAGO IL 60603-5121|Adult Continuing Education Educational Institutions and Related Activities|True|2015|2015.0|356976.0|328253.0|605165.0|14533.0|356313.0|0.0|[41.88032125, -87.6298231397513]
MOUNTAINEERING FOUNDATION OF CHICAGO|4866 W BALMORAL AVE CHICAGO IL 60630-1504||False|2012|2012.0|28571.0|7500.0|663227.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MISERICORDIA FAMILY ASSOCIATION|6300 N RIDGE AVE CHICAGO IL 60660-1017|Single Organization Support Human Services — Multipurpose and Other|True|2015|2015.0|1278870.0|1281545.0|30193.0|0.0|535198.0|0.0|[41.995638, -87.675867]
MUSE MACHINE IRRV CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Single Organization Support Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014.0|144332.0|86959.0|1492659.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NATIONAL ORGANIZATION OF RESEARCH DEVELOPMENT PROFESSIONALS|20 N WACKER DR STE 2250 CHICAGO IL 60606-3095|Research Institutes and/or Public Policy Analysis Social Science Research Institutes Services|True|2015|2015.0|340878.0|299441.0|207894.0|0.0|0.0|340877.0|[37.8687886, -122.2592009]
MIKVA CHALLENGE GRANT FOUNDATION INC|332 S MICHIGAN AVE STE 400 CHICAGO IL 60604-4406|Education N.E.C.|False|2014|2014.0|2475040.0|2302156.0|2097843.0|118970.0|2051611.0|490456.0|[37.8687886, -122.2592009]
MICHAEL R SINNING MEMORIAL SCHOLARSHIP TRUST|1 SOUTH WACKER DRIVE CHICAGO IL 60606|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|False|2014|2013.0|2.0|1913.0|18091.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NATIONAL BASKETBALL RETIRED PLAYERS ASSOCIATION INC|175 W JACKSON BLVD STE 1600 CHICAGO IL 60604-2827|Educational Services and Schools - Other Educational Institutions and Related Activities|True|2015|2015.0|2481794.0|2470922.0|2568027.0|16499.0|2087080.0|0.0|[41.877501, -87.6331603961643]
MIAMI VAL HOSPITAL ET AL UW SANDERS|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014.0|122659.0|89933.0|1394087.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 023 SE TRIANGLE CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2009||||||||[37.8687886, -122.2592009]
MY SISTER S CLOSET NETWORK NFP|1507 E 53RD STREET CHICAGO IL 60615-4573|Human Service Organizations - Multipurpose Human Services — Multipurpose and Other|True|2016|2016.0|0.0||2689.0|2893.0|0.0|0.0|[41.7994651819542, -87.5887034324462]
NATIONAL KIDNEY FOUNDATION INC|215 WEST ILLINOIS CHICAGO IL 60654-7814||True|2016|2016.0|1929608.0|1543670.0|5622980.0|168418.0|1110086.0|584460.0|[37.8687886, -122.2592009]
MIDWEST WALL AND CEILING CONTRACTORS|500 N MICHIGAN AVE CHICAGO IL 60611-3777||True|2015|2015.0|96519.0|80992.0|468733.0|797196.0|0.0|78694.0|[41.8910751, -87.6247426]
NATIONAL ALLIED WORKERS UNION INSURANCE TRUST|6970 W DIVERSEY AVENUE CHICAGO IL 60707-1783|Voluntary Employees Beneficiary Associations (Non-Government) Mutual/Membership Benefit Organizations Other|True|2015|2015.0|19275815.0|19042726.0|2048525.0|308211.0|0.0|19275686.0|[41.9310582, -87.8006151067101]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 214 WESTER MASS OF NAON|330 NORTH WABASH AVENUE CHICAGO IL 60611-3586||False|2008||||||||[37.8687886, -122.2592009]
METROPOLITAN HOUSING DEVELOPMENT CORPORATION FIRST ACTIVE SENIORS CORP III|8 S MICHIGAN AVE STE 3100 CHICAGO IL 60603-3267||True|2016|2015.0|164570.0|470826.0|3084838.0|5636620.0|0.0|162118.0|[41.8819299, -87.6247089]
NATIONAL PARTNERSHIP FOR NEW AMERICANS|1818 S PAULINA ST CHICAGO IL 60608-2719|Human Service Organizations - Multipurpose Human Services — Multipurpose and Other|True|2015|2015.0|2269913.0|1946575.0|445180.0|22369.0|2259913.0|10000.0|[41.8571182, -87.6689529977392]
NANNIE C WALLIS TR UW FBO CHRISTIAN CHURCH 3401088400|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2016|2014.0|17140.0|16059.0|269448.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MERCY FOUNDATION INC|2525 S MICHIGAN AVE CHICAGO IL 60616-2315|Fund Raising Organizations That Cross Categories Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2015.0|1029589.0|848473.0|7648201.0|518555.0|1110467.0|0.0|[41.84665325, -87.6219706414015]
NBU ATHLETICS FOUNDATION INC|910 W VAN BUREN AVE ROOM 214 CHICAGO IL 60607-3523|Basketball Recreation Sports Leisure Athletics|True|2015|2015.0|8525.0|7859.0|666.0|0.0|8525.0|0.0|[37.8687886, -122.2592009]
NATIONAL VIETNAM VETERANS ART MUSEUM|4041 N MILWAUKEE AVE 2ND FL CHICAGO IL 60641-1834||True|2015|2015.0|395066.0|406352.0|306692.0|7773.0|390266.0|0.0|[41.9543845, -87.7486367]
NATIONAL BLACK UNITED FRONT EDUCATION FUND|1809 E 71ST ST CHICAGO IL 60649-2107||True|2015||||||||[41.7659683469388, -87.5783793877551]
MILLER FAMILY FOUNDATION INC|PO BOX 803878 CHICAGO IL 60680-3878|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014.0|390947.0|360182.0|4963583.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MOST WORSHIPFUL PRINCE HALL GRAND LODGE OF ILLINOIS BENEVOLENT|809 E 42ND PL CHICAGO IL 60653-2903|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2015|2015.0|43550.0|35301.0|8249.0|0.0|43550.0|0.0|[41.8177972, -87.6062931099194]
MORGAN PARK ACADEMY|2153 W 111TH ST CHICAGO IL 60643-3917|Primary Elementary Schools Educational Institutions and Related Activities|True|2015|2015.0|8124180.0|8187846.0|7208701.0|4547423.0|583761.0|7453198.0|[41.6915127, -87.6756469526214]
NATIONAL ASSOCIATION OF REALTORS|430 N MICHIGAN AVE CHICAGO IL 60611-4011||True|2015|2015.0|214144362.0|181635099.0|323211041.0|128404180.0|0.0|202213479.0|[41.890382, -87.6247050510543]
MUSIKANTOW FOUNDATION|47 W DIVISION STE 389 CHICAGO IL 60610-2220|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014.0|23529.0|29971.0|140880.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
