MORGAN PARK-BEVERLY HILLS BUSINESS ASSOCIATION|10827 S WESTERN AVE CHICAGO IL 60643-3206||False|2012|2012|37075|35301|37947|0|37075|0
MUSIC TEACHERS NATIONAL ASSOCIATION ILLINOIS STATE MTA|4715 N RACINE AVE APT 405 CHICAGO IL 60640-4062||True|2016|2016|62851|69408|88966|1934|670|17081
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC W-068 EAST BAY|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2012|2012|0||1|0|0|0
MIDWEST BRIDGE UNIT INC|1420 E 87TH ST CHICAGO IL 60619-6523||True|2016|2015|74580|95503|53712|13463|0|0
MORDINE & COMPANY|1016 N DEARBORN ST CHICAGO IL 60610-2804|Dance Arts Culture and Humanities|True|2015|2015|104007|109206|24609|3125|101879|0
NATIONAL ASSOCIATION OF CONCESSIONAIRES|180 N MICHIGAN AVE STE 2215 CHICAGO IL 60601-7455||True|2015|2015|783946|784232|692016|101566|186555|554479
MORGAN-SENIOR FOUNDATION|323 N MICHIGAN AVE CHICAGO IL 60601-3701||True|2015|2014|251680|64243|548694|24285|257964|262
MELVIN AND FRANCES KIRBY FOUNDATION|111 W MONROE ST CHICAGO IL 60603-4096|Private Independent Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2015|43466|33517|456363|0|0|0
MILDRED WILLCOX TRUST UW|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|39397|25925|418775|0|0|0
NAPER VALLEY CORPORATION|1415 W FOSTER AVE CHICAGO IL 60640-2288|Senior Continuing Care Communities Human Services — Multipurpose and Other|True|2015|2015|57583|119041|11029|68919|0|46270
MOVE FOR LIFE INC|7033 N KEDZIE AVE APT 113 CHICAGO IL 60645-2806|Research Institutes and/or Public Policy Analysis Health — General and Rehabilitative|False|2014|2014|6500|2906|3594|0|6500|0
MEN & WOMEN IN PRISON MINISTRIES|10 W 35TH STREET CHICAGO IL 60616-3717|Religion Related Spiritual Development N.E.C.|True|2015|2015|256407|322497|89316|19794|256407|0
MOUNT SINAI HOSPITAL MEDICAL CENTER|CALIFORNIA AVE AT 15TH ST CHICAGO IL 60608-0000|Hospital General Health — General and Rehabilitative|True|2015|2015|316679562|311584870|157332969|166109532|10341946|299030418
MRENS NFP|750 N LAKE SHORE DR 600 CHICAGO IL 60611-3152|Science and Technology Research Institutes Services N.E.C.|True|2015|2015|349720|326098|349916|0|0|348980
MUHAMMAD ISLAMIC FOUNDATION|207 E OHIO ST CHICAGO IL 60611-3238||True|2015|2014|129297|121384|782390|172626|129293|4
NATIONAL CONFERENCE OF BAR PRESIDENTS|321 N CLARK ST FL 16 CHICAGO IL 60654-4740|Correctional Facilities N.E.C. Crime Legal-Related|True|2015|2015|361811|393240|595021|63205|116250|233197
NATIONAL COUNCIL OF REAL ESTATE INVESTMENTS FIDUCIARIES|200 E RANDOLPH ST STE 5135 CHICAGO IL 60601-6535||True|2015|2015|4293204|4678703|1320985|142140|0|4292479
MINERD FOUNDATION|227 W MONROE ST FL 48 CHICAGO IL 60606-5037|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2013|440215|227|2439853|0|440000|215
MUSIC IN URBAN SCHOOLS INSPIRING CHANGE|2658 N HARDING AVE CHICAGO IL 60647-1025|Music Arts Culture and Humanities|False|2012|2012|165|151|1|0|165|0
NATIONAL SOCIETY TO PREVENT BLINDNESS PREVENT BLINDNESS|211 W WACKER DR STE 1700 CHICAGO IL 60606-1375|Eye Diseases Blindness and Vision Impairments Diseases Disorders Medical Disciplines|True|2016|2016|3293795|3815987|13615948|2029844|2530649|664285
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 062 SC DENVER CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2009|||||||
MIDWEST STOCK TRANSFER ASSN INC|200 S WACKER DRIVE - SUITE 3144 CHICAGO IL 60606-5829||False|2007|||||||
MICHEAL REESE HEALTH TRUST|150 N WACKER DR STE 2320 CHICAGO IL 60606-1608|Health - General and Rehabilitative N.E.C.|True|2016|2014|8283108|8452289|148205327|5195525|372104|0
NATIONAL COUNCIL OF YOUNG MENS CHRISTIAN ASSNS OF THE USA|101 N WACKER DR FL 16 CHICAGO IL 60606-7310|Young Men's or Women's Associations (YMCA YWCA YWHA YMHA) Human Services — Multipurpose and Other|True|2016|2015|143906903|126647523|166274608|23854639|66457374|69629903
MOMBASA RELIEF INITATIVE|201 W LAKE ST STE 113 CHICAGO IL 60606-1803|International Relief International Foreign Affairs and National Security|False|2013|2013|10559|11143|448|0|5992|0
NATIONAL FOUNDATION FOR JUDICIAL EXCELLENCE|55 W MONROE ST STE 2000 CHICAGO IL 60603-5121|Adult Continuing Education Educational Institutions and Related Activities|True|2015|2015|356976|328253|605165|14533|356313|0
MOUNTAINEERING FOUNDATION OF CHICAGO|4866 W BALMORAL AVE CHICAGO IL 60630-1504||False|2012|2012|28571|7500|663227|0|0|0
MISERICORDIA FAMILY ASSOCIATION|6300 N RIDGE AVE CHICAGO IL 60660-1017|Single Organization Support Human Services — Multipurpose and Other|True|2015|2015|1278870|1281545|30193|0|535198|0
MUSE MACHINE IRRV CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Single Organization Support Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014|144332|86959|1492659|0|0|0
NATIONAL ORGANIZATION OF RESEARCH DEVELOPMENT PROFESSIONALS|20 N WACKER DR STE 2250 CHICAGO IL 60606-3095|Research Institutes and/or Public Policy Analysis Social Science Research Institutes Services|True|2015|2015|340878|299441|207894|0|0|340877
MIKVA CHALLENGE GRANT FOUNDATION INC|332 S MICHIGAN AVE STE 400 CHICAGO IL 60604-4406|Education N.E.C.|False|2014|2014|2475040|2302156|2097843|118970|2051611|490456
MICHAEL R SINNING MEMORIAL SCHOLARSHIP TRUST|1 SOUTH WACKER DRIVE CHICAGO IL 60606|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|False|2014|2013|2|1913|18091|0|0|0
NATIONAL BASKETBALL RETIRED PLAYERS ASSOCIATION INC|175 W JACKSON BLVD STE 1600 CHICAGO IL 60604-2827|Educational Services and Schools - Other Educational Institutions and Related Activities|True|2015|2015|2481794|2470922|2568027|16499|2087080|0
