,iyear,imonth,iday,city,latitude,longitude,attacktype1_txt,targtype1_txt,nkill,summary
0,1970,1,1,Cairo,37.005105,-89.17626899999999,Armed Assault,Police,0.0,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois."
1,1970,1,2,Oakland,37.805065,-122.27302399999999,Bombing/Explosion,Utilities,0.0,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties."
2,1970,1,2,Madison,43.076592,-89.412488,Facility/Infrastructure Attack,Military,0.0,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building."
3,1970,1,3,Madison,43.07295,-89.38669399999999,Facility/Infrastructure Attack,Government (General),0.0,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately."
4,1970,1,1,Baraboo,43.4685,-89.744299,Bombing/Explosion,Military,0.0,
5,1970,1,6,Denver,39.74001,-104.992259,Facility/Infrastructure Attack,Military,0.0,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305."
6,1970,1,9,Detroit,42.331685,-83.047924,Facility/Infrastructure Attack,Government (General),0.0,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties."
7,1970,1,9,Rio Piedras,18.399712,-66.049987,Facility/Infrastructure Attack,Business,0.0,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000."
8,1970,1,12,New York City,40.610069,-73.947971,Bombing/Explosion,Educational Institution,0.0,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school."
9,1970,1,12,Rio Grande,18.379998,-65.83094799999999,Bombing/Explosion,Business,0.0,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages."
